SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
W-Msc-570469,153506,Fissurella,maxima,NA,Animalia,Mollusca,Gastropoda,Patellogastropoda,Fissurellidae,Gastropods,Fissurella maxima,NA,NA,NA,NA,NA
SLB-186771,154162,Caryophyllia,versicolorata,NA,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Corals,Caryophyllia versicolorata,NA,NA,NA,NA,NA
W-Ase-382124,154278,Patiria,chilensis,Chilean bat star,Animalia,Echinodermata,Asteroidea,Spinulosida,Asterinidae,Echinoderms,Patiria chilensis,NA,NA,NA,NA,NA
SLB-187057,154328,Squilla,aculeata,NA,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Crustaceans,Squilla aculeata,NA,NA,NA,NA,NA
SLB-187624,154559,Gitanopsis,desmondi,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Crustaceans,Gitanopsis desmondi,NA,NA,NA,NA,NA
W-Ase-368324,154583,Mimastrella,cognata,soft tangerine starfish,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Echinoderms,Mimastrella cognata,NA,NA,NA,NA,NA
W-Hyd-284128,154628,Gymnangium,japonicum,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Hydrozoans,Gymnangium japonicum,NA,NA,NA,NA,NA
SLB-144009,119449,Padina,australis,NA,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,NA,Padina australis,NA,NA,NA,NA,NA
SLB-188159,154755,Lasaea,hawaiiensis,NA,Animalia,Mollusca,Bivalvia,Veneroida,Lasaeidae,Bivalves,Lasaea hawaiiensis,NA,NA,NA,NA,NA
W-Bch-443874,154801,Trapezia,areolata,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Trapeziidae,Crustaceans,Trapezia areolata,NA,NA,NA,NA,NA
